InvoiceNo,InvoiceDate,CustomerID,Quantity,UnitPrice
202951,2022-03-25,10103,7,46.0
201238,2022-02-12,10436,2,38.75
209165,2022-06-03,10349,8,56.28
204727,2022-11-23,10271,9,51.92
203965,2022-04-04,10107,7,19.9
205686,2022-10-25,10072,4,19.24
209242,2022-05-13,10189,9,23.32
203701,2022-03-06,10021,4,53.95
202780,2022-10-17,10103,4,15.06
207398,2022-09-14,10122,9,40.34
201588,2022-08-01,10467,8,39.7
202368,2022-05-28,10215,4,59.22
205789,2022-03-02,10331,8,36.24
200436,2022-05-29,10459,8,16.92
202828,2022-03-29,10088,7,20.5
201556,2022-11-20,10373,10,18.34
207570,2022-10-05,10100,6,25.31
207480,2022-03-23,10360,8,30.22
209496,2022-05-09,10152,7,18.49
200182,2022-10-13,10131,5,69.08
207190,2022-12-19,10150,4,17.07
206687,2022-10-07,10309,2,64.91
205565,2022-09-27,10258,8,59.89
207241,2022-10-19,10344,9,51.89
207651,2022-07-22,10492,4,23.41
205575,2022-01-24,10414,4,39.3
201589,2022-12-17,10294,5,17.48
209779,2022-11-07,10386,2,52.22
208851,2022-07-27,10192,7,31.91
200159,2022-10-07,10444,5,26.99
206555,2022-07-24,10277,6,17.96
209203,2022-06-01,10161,4,9.6
208244,2022-01-26,10460,8,19.7
206846,2022-07-13,10314,8,57.77
202307,2022-12-02,10022,5,27.07
201228,2022-08-26,10253,6,30.43
207226,2022-11-17,10236,3,45.96
205590,2022-03-16,10345,1,81.68
206919,2022-06-12,10049,9,64.23
205585,2022-10-26,10475,9,20.37
209227,2022-01-29,10059,3,12.54
206046,2022-06-14,10170,4,107.75
204945,2022-12-03,10476,7,102.98
207927,2022-07-05,10188,2,36.39
207016,2022-02-23,10464,3,17.54
207758,2022-10-22,10271,6,53.6
205086,2022-02-11,10190,8,31.37
209456,2022-10-12,10446,1,31.3
207161,2022-05-18,10175,4,51.79
201884,2022-07-06,10446,1,39.14
201809,2022-07-23,10051,2,18.3
203167,2022-02-11,10364,8,28.15
206352,2022-12-16,10055,6,46.09
209009,2022-10-15,10244,9,42.74
206056,2022-01-26,10320,2,37.75
202437,2022-02-25,10131,3,52.81
206468,2022-09-10,10485,9,27.64
209080,2022-05-02,10307,9,36.21
205951,2022-04-16,10135,6,6.12
205276,2022-05-10,10021,3,26.45
208859,2022-12-03,10329,5,48.52
207818,2022-06-07,10167,2,27.24
204728,2022-08-19,10274,7,26.23
202624,2022-11-04,10388,10,19.67
205738,2022-04-01,10089,8,54.69
204232,2022-01-22,10316,6,43.56
205793,2022-10-17,10014,8,50.03
204523,2022-04-20,10242,2,13.97
205571,2022-02-18,10265,3,30.56
209010,2022-05-09,10346,7,28.79
209298,2022-03-14,10053,10,28.78
202224,2022-12-06,10386,1,24.34
208389,2022-02-22,10340,7,27.85
206091,2022-12-22,10092,6,50.64
208662,2022-06-17,10367,8,12.73
206361,2022-02-14,10444,7,80.53
201948,2022-04-15,10455,4,42.18
207094,2022-05-30,10428,3,32.42
206318,2022-05-26,10264,3,52.11
203796,2022-07-23,10431,4,16.02
200234,2022-12-28,10035,9,23.75
209120,2022-10-26,10206,9,31.17
203607,2022-06-16,10081,2,65.55
208043,2022-07-20,10420,5,32.35
200522,2022-05-14,10050,1,41.47
205904,2022-07-30,10360,4,24.66
204888,2022-02-17,10388,2,42.24
209821,2022-05-06,10002,8,76.6
205832,2022-08-27,10390,4,54.48
207122,2022-01-07,10054,5,31.79
205842,2022-09-29,10106,4,46.42
201316,2022-02-06,10260,5,44.2
201124,2022-07-30,10310,5,42.66
205621,2022-06-14,10477,5,57.74
205423,2022-05-05,10191,3,57.53
202587,2022-12-03,10402,7,31.08
209215,2022-07-11,10218,3,45.65
205672,2022-08-06,10044,2,27.34
201378,2022-08-02,10162,3,20.87
203374,2022-03-03,10202,3,28.94
201519,2022-11-24,10446,8,31.88
205777,2022-06-10,10484,4,14.43
207935,2022-03-07,10270,3,50.92
206093,2022-10-13,10351,10,8.3
208418,2022-08-27,10304,5,128.69
205355,2022-01-20,10271,4,70.17
204968,2022-07-07,10456,9,29.06
209083,2022-03-23,10462,8,33.27
205574,2022-12-29,10215,7,38.53
204072,2022-07-21,10252,8,24.67
202257,2022-05-12,10190,5,36.46
208588,2022-02-06,10296,4,30.81
204424,2022-05-12,10213,7,31.59
203237,2022-03-18,10208,1,36.26
203893,2022-03-30,10237,6,17.17
202005,2022-09-10,10338,8,33.78
202016,2022-12-10,10367,7,35.94
209388,2022-07-13,10053,2,35.32
201772,2022-06-25,10280,7,29.73
208353,2022-02-02,10410,6,58.49
203976,2022-02-27,10217,5,27.75
201751,2022-07-20,10252,4,37.1
208967,2022-01-28,10188,1,63.35
207430,2022-02-04,10380,2,31.83
207170,2022-05-05,10493,7,36.86
206469,2022-11-17,10041,10,31.56
209131,2022-02-11,10157,3,61.48
203220,2022-03-26,10015,5,29.11
200539,2022-07-07,10301,8,62.91
201461,2022-04-21,10065,8,31.44
205184,2022-09-28,10345,6,21.55
208547,2022-11-21,10327,5,46.51
200234,2022-04-15,10009,2,28.44
201548,2022-11-16,10344,9,45.16
207480,2022-02-10,10129,1,8.46
204213,2022-08-03,10492,2,33.2
201673,2022-03-12,10136,1,26.32
206708,2022-02-25,10472,4,19.46
207982,2022-08-24,10063,4,25.11
202100,2022-10-08,10139,5,24.86
203748,2022-04-15,10499,5,32.33
203173,2022-06-11,10081,8,16.72
201815,2022-07-10,10392,3,38.79
203841,2022-01-09,10163,6,65.57
208016,2022-03-01,10419,3,38.11
207011,2022-11-01,10289,2,49.62
204493,2022-08-13,10379,8,57.24
200674,2022-11-03,10261,1,61.45
208088,2022-07-07,10490,9,84.36
208578,2022-03-11,10231,7,25.8
202158,2022-10-20,10041,10,23.12
202661,2022-10-14,10028,4,49.0
202064,2022-06-18,10135,3,47.19
203253,2022-03-03,10201,6,48.81
204979,2022-12-15,10328,9,85.17
207703,2022-01-14,10268,9,33.3
208931,2022-06-13,10418,4,40.98
201401,2022-09-02,10033,10,20.28
203259,2022-12-01,10048,5,96.32
203923,2022-01-08,10407,9,27.99
204214,2022-06-03,10062,2,28.39
203227,2022-02-05,10216,2,27.84
202745,2022-02-17,10293,5,23.99
206091,2022-03-26,10099,1,23.0
203866,2022-01-28,10172,8,25.49
205818,2022-07-15,10360,5,16.73
202222,2022-07-27,10214,10,22.36
202792,2022-07-23,10475,2,87.75
209889,2022-11-03,10035,9,47.84
204063,2022-04-14,10449,2,52.61
201524,2022-08-18,10227,7,59.66
208224,2022-04-11,10101,8,82.85
206198,2022-01-29,10431,6,13.66
204025,2022-05-07,10462,7,17.9
202566,2022-12-04,10131,1,22.16
202803,2022-01-10,10257,4,26.18
203709,2022-04-16,10005,7,28.49
206155,2022-06-16,10218,1,26.48
200719,2022-09-14,10255,1,36.95
206516,2022-10-22,10398,6,33.71
204579,2022-10-04,10359,4,23.07
200972,2022-03-06,10283,3,11.16
203718,2022-09-28,10393,5,20.16
207395,2022-07-07,10207,9,25.16
204402,2022-11-13,10015,10,29.27
204552,2022-05-18,10346,10,18.82
202207,2022-12-09,10042,10,25.91
204426,2022-04-15,10380,3,18.81
206919,2022-02-03,10461,5,31.1
208835,2022-04-20,10179,10,19.36
208386,2022-02-02,10063,5,21.66
208680,2022-12-20,10352,9,17.21
202204,2022-08-19,10231,10,30.67
205345,2022-11-13,10241,4,21.47
203276,2022-09-23,10052,1,52.11
201102,2022-07-01,10096,10,40.57
205243,2022-12-06,10388,5,31.98
206614,2022-03-06,10222,1,22.23
209433,2022-11-29,10485,6,40.06
208707,2022-01-01,10407,10,46.78
205223,2022-05-13,10231,10,35.56
208584,2022-03-21,10237,7,73.84
200630,2022-09-28,10143,1,41.67
209171,2022-08-29,10171,10,52.29
206683,2022-01-28,10029,4,35.4
200277,2022-08-11,10036,9,46.42
200232,2022-01-23,10013,1,22.23
209744,2022-04-19,10160,9,26.33
205690,2022-04-17,10327,8,39.44
207659,2022-05-25,10187,5,39.29
200025,2022-12-20,10243,6,42.68
207468,2022-05-19,10086,7,57.41
206410,2022-10-11,10284,4,16.24
208652,2022-10-25,10066,6,20.34
203764,2022-04-09,10170,7,37.14
206599,2022-11-13,10045,6,23.05
205102,2022-05-03,10062,6,179.27
207006,2022-11-16,10441,2,42.86
203483,2022-10-14,10134,5,31.84
201994,2022-03-22,10284,3,25.59
208682,2022-01-10,10028,7,26.05
201072,2022-01-08,10108,4,33.62
206707,2022-07-24,10044,1,35.02
200215,2022-11-11,10340,6,26.35
207605,2022-07-16,10286,6,28.89
209915,2022-07-17,10446,7,64.85
209784,2022-01-30,10331,8,66.17
202606,2022-01-20,10128,3,37.56
208350,2022-02-17,10348,6,16.93
204781,2022-05-10,10473,10,43.35
203313,2022-10-20,10231,2,72.03
209968,2022-05-12,10190,9,65.69
207763,2022-12-22,10225,2,47.81
205939,2022-02-23,10385,3,67.44
202295,2022-10-08,10377,10,34.01
205685,2022-09-22,10283,2,45.33
201696,2022-08-03,10446,9,23.56
201946,2022-10-17,10121,1,38.33
202783,2022-02-12,10116,5,64.38
203644,2022-03-15,10461,1,24.66
205241,2022-12-16,10233,5,21.53
206420,2022-10-05,10259,8,34.77
207557,2022-11-22,10359,8,29.57
202645,2022-08-30,10198,8,45.81
206589,2022-05-10,10456,2,26.4
206353,2022-12-16,10411,8,78.2
201932,2022-07-13,10137,5,17.38
201757,2022-02-01,10318,1,61.98
205085,2022-04-16,10165,7,22.59
205637,2022-07-23,10225,6,13.49
201116,2022-01-01,10307,5,37.3
200492,2022-09-02,10234,1,29.16
208811,2022-03-13,10172,1,19.01
207888,2022-11-02,10152,6,14.29
206474,2022-01-15,10463,10,32.98
209738,2022-02-22,10315,7,53.94
204958,2022-01-08,10374,10,44.37
209797,2022-11-26,10160,10,34.07
209467,2022-02-15,10096,1,42.07
202743,2022-11-21,10472,9,32.67
207866,2022-04-24,10233,4,16.2
207160,2022-05-27,10180,5,16.27
205451,2022-06-15,10113,2,29.92
205258,2022-05-19,10318,10,30.56
208548,2022-04-27,10497,8,50.68
207186,2022-10-26,10442,2,48.36
206102,2022-10-03,10052,3,44.82
209061,2022-10-04,10268,9,28.79
209077,2022-12-04,10295,2,16.6
209475,2022-11-09,10386,6,40.69
200619,2022-06-27,10387,4,43.06
200882,2022-11-26,10113,7,10.03
208988,2022-12-20,10101,6,21.82
203642,2022-06-03,10113,10,23.44
201296,2022-07-20,10440,9,35.13
208436,2022-04-25,10081,9,22.16
202895,2022-06-08,10187,10,32.49
206593,2022-02-11,10113,4,29.81
200929,2022-09-04,10002,1,30.58
205366,2022-03-09,10130,2,23.15
208711,2022-11-22,10220,8,24.06
203212,2022-11-30,10054,10,19.3
202409,2022-07-15,10343,8,40.05
208199,2022-03-31,10485,2,44.06
203423,2022-04-21,10224,4,22.53
206976,2022-12-25,10225,1,70.83
207594,2022-05-25,10385,7,28.3
205158,2022-10-02,10403,4,71.17
203667,2022-06-28,10126,8,24.02
205973,2022-08-29,10130,9,12.02
206236,2022-11-22,10053,9,40.49
208277,2022-11-15,10172,3,37.5
202468,2022-11-27,10218,5,33.69
206217,2022-06-02,10160,6,24.02
203619,2022-04-14,10198,6,32.55
201636,2022-03-16,10416,10,25.65
208155,2022-05-08,10247,8,28.47
203583,2022-07-18,10324,6,50.44
204009,2022-06-03,10439,6,36.31
203326,2022-02-25,10203,4,44.92
208148,2022-10-05,10184,7,29.49
202217,2022-12-11,10123,8,27.91
204967,2022-01-19,10401,3,18.6
202369,2022-06-08,10255,7,27.52
203638,2022-01-26,10294,3,6.29
209135,2022-06-18,10280,8,24.65
205722,2022-01-23,10325,1,31.79
204444,2022-02-16,10372,1,43.9
207618,2022-01-13,10098,6,28.95
203947,2022-08-05,10198,10,39.4
201676,2022-11-18,10470,9,11.14
201196,2022-07-13,10395,4,32.19
202787,2022-05-24,10240,6,14.3
207432,2022-03-14,10144,5,18.1
209653,2022-06-05,10097,1,30.16
207927,2022-03-18,10201,6,62.69
203318,2022-06-18,10124,9,39.87
208858,2022-10-14,10187,3,33.42
206689,2022-03-26,10326,3,32.79
202176,2022-07-01,10464,2,23.18
203743,2022-11-11,10349,4,25.23
208792,2022-10-24,10259,10,41.0
204422,2022-04-22,10148,3,16.57
203824,2022-08-18,10252,2,44.55
209171,2022-04-06,10443,1,27.27
202451,2022-06-17,10420,3,50.04
200628,2022-06-05,10403,10,53.55
209821,2022-04-15,10346,6,14.35
207778,2022-07-12,10451,9,24.76
203696,2022-11-26,10147,5,21.59
203674,2022-05-12,10148,3,13.38
203929,2022-12-21,10352,5,19.76
202765,2022-05-18,10199,5,112.24
204369,2022-11-27,10308,5,44.91
208307,2022-09-27,10489,7,86.37
204956,2022-02-07,10417,5,50.13
200692,2022-02-14,10424,7,22.85
203162,2022-06-12,10128,9,27.36
201105,2022-11-27,10039,5,44.44
203008,2022-09-10,10338,2,41.21
202161,2022-06-18,10360,5,24.81
208345,2022-10-12,10129,8,15.56
203699,2022-10-01,10267,4,171.38
203786,2022-01-20,10476,2,30.86
209256,2022-08-27,10441,10,28.14
204200,2022-09-27,10473,3,35.05
201913,2022-11-06,10434,9,29.33
209408,2022-01-31,10151,9,35.21
205520,2022-11-10,10415,8,63.02
201772,2022-04-14,10478,8,31.12
202780,2022-06-19,10298,8,18.52
207423,2022-07-05,10099,8,30.54
202871,2022-05-08,10263,8,26.25
200660,2022-07-29,10252,1,67.49
206242,2022-10-08,10144,6,59.48
201132,2022-09-10,10346,9,34.94
200699,2022-01-19,10112,8,17.47
207470,2022-07-19,10500,3,17.94
206297,2022-08-08,10060,1,33.37
207812,2022-05-16,10369,2,39.18
204557,2022-08-11,10002,2,27.46
202179,2022-01-03,10385,7,26.05
209065,2022-08-24,10304,6,24.62
208275,2022-12-08,10254,2,32.73
201422,2022-08-16,10140,8,10.06
203180,2022-05-22,10453,9,19.09
204316,2022-01-09,10037,7,24.2
206696,2022-07-09,10160,4,60.57
209583,2022-12-16,10009,1,22.05
200614,2022-06-14,10233,4,36.24
204570,2022-05-19,10099,4,37.09
200270,2022-10-03,10147,8,63.37
202468,2022-10-18,10304,4,62.26
209582,2022-02-22,10208,4,32.18
203607,2022-06-24,10131,2,26.11
203075,2022-04-20,10404,10,23.76
200289,2022-07-22,10152,7,29.36
208120,2022-05-16,10054,4,26.66
206614,2022-01-04,10120,6,43.68
203252,2022-06-04,10161,3,40.86
207415,2022-06-21,10408,7,44.52
206771,2022-12-24,10116,6,62.16
200278,2022-02-16,10075,3,84.05
200580,2022-04-04,10113,4,35.25
204958,2022-02-17,10456,10,57.38
208445,2022-08-28,10420,5,27.78
204276,2022-12-13,10422,9,59.89
207997,2022-08-01,10104,6,56.3
204776,2022-12-06,10340,4,54.83
200824,2022-11-20,10254,7,34.71
203832,2022-05-19,10227,2,23.71
208891,2022-07-24,10112,4,16.49
205445,2022-03-14,10473,5,32.46
201380,2022-01-04,10099,4,71.27
209865,2022-03-17,10153,4,28.36
206534,2022-11-25,10349,9,49.04
